setting,d,gamma_times_d,value_function,n_background,instance,eps,lambda_max,A_max,eta,m_certified,m_empirical,exact_threshold,certified_bound,observed_err,bound_holds,eps_holds,tightness,efficiency_residual,t_budget_s,t_quad_s,t_exact_s
"d=100, narrow",100,30.0,neutral,0,0,0.01,41.46756930088668,180.04480078827154,5.55417315924594e-05,11,8,50,0.009014325365083127,6.479001446457744e-06,True,True,1391.3139917589488,,0.000769458001741441,0.002614334000099916,0.01565774999835412
"d=100, narrow",100,30.0,neutral,0,0,0.001,41.46756930088668,180.04480078827154,5.55417315924594e-06,13,9,50,0.00016646820094003004,1.205295512840543e-07,True,True,1381.1401367263973,,0.0006614580015593674,0.061256875000253785,0.01565774999835412
"d=100, narrow",100,30.0,neutral,0,0,0.0001,41.46756930088668,180.04480078827154,5.55417315924594e-07,14,10,50,1.8922957391455352e-05,2.2055245780736032e-07,True,True,85.79798919304471,,0.0005241660001047421,0.047534792000078596,0.01565774999835412
"d=100, narrow",100,30.0,neutral,0,0,1e-06,41.46756930088668,180.04480078827154,5.55417315924594e-09,16,12,50,1.7530989257689932e-07,2.0558818669691448e-07,False,True,0.85272357032531,,0.0006099170022935141,0.07621304100030102,0.01565774999835412
"d=100, narrow",100,30.0,neutral,0,0,1e-08,41.46756930088668,180.04480078827154,5.5541731592459396e-11,18,18,50,1.0738588617243109e-09,9.388932270537609e-08,False,False,0.011437497159225134,,0.0005505000008270144,0.002523167000617832,0.01565774999835412
"d=100, narrow",100,30.0,neutral,0,1,0.1,37.77920390510329,167.24758628536807,0.000597915953354172,10,6,50,0.022839975300463715,1.6509030873468333e-05,True,True,1383.4837111589538,,0.0004310830008762423,0.001579333002155181,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,1,0.01,37.77920390510329,167.24758628536807,5.9791595335417205e-05,11,7,50,0.0032827765320346375,1.4485007351350276e-06,True,True,2266.3271425462003,,0.0005696250009350479,0.0017223340000782628,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,1,0.001,37.77920390510329,167.24758628536807,5.979159533541721e-06,12,9,50,0.00041283772835478967,2.047630169865755e-07,True,True,2016.1733033160758,,0.0004828749988519121,0.0017079999997804407,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,1,0.0001,37.77920390510329,167.24758628536807,5.979159533541721e-07,13,10,50,4.569951104516823e-05,1.1430033541870444e-07,True,True,399.8195707629554,,0.0004634590004570782,0.0020665000010922085,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,1,1e-06,37.77920390510329,167.24758628536807,5.97915953354172e-09,15,12,50,3.907078918324776e-07,1.5670443331838868e-07,True,True,2.493279121456926,,0.0005262500017124694,0.0021152079971216153,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,1,1e-08,37.77920390510329,167.24758628536807,5.97915953354172e-11,17,17,50,2.1407543642203942e-09,9.978234938312625e-08,False,False,0.021454238925571016,,0.0005372500017983839,0.002474625001923414,0.006567624997842358
"d=100, narrow",100,30.0,neutral,0,2,0.1,43.528063050696176,189.42783066596502,0.0005279055334605976,10,6,50,0.08616406491052257,5.5728760797180144e-05,True,True,1546.1327988991,,0.00042041699998662807,0.0015410000014526304,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,2,0.01,43.528063050696176,189.42783066596502,5.2790553346059756e-05,12,8,50,0.0023419895672034848,5.955785535860514e-07,True,True,3932.2933189955866,,0.0005137500011187512,0.0018945000010717195,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,2,0.001,43.528063050696176,189.42783066596502,5.279055334605976e-06,13,9,50,0.0003219472802451625,9.423847785461348e-08,True,True,3416.3039087053917,,0.0005703750030079391,0.0020877499991911463,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,2,0.0001,43.528063050696176,189.42783066596502,5.279055334605976e-07,14,10,50,3.945397458528722e-05,1.429773154870695e-07,True,True,275.9456942584388,,0.0005161659973964561,0.0021819159992446657,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,2,1e-06,43.528063050696176,189.42783066596502,5.279055334605975e-09,16,12,50,4.274461172400672e-07,2.4913270058046777e-07,True,True,1.7157366987317897,,0.0005207080030231737,0.002353791998757515,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,2,1e-08,43.528063050696176,189.42783066596502,5.2790553346059755e-11,18,18,50,3.0822072399059776e-09,1.5975926129230267e-07,False,False,0.01929282355823262,,0.0005087079989607446,0.0026288330009265337,0.0064421250026498456
"d=100, narrow",100,30.0,neutral,0,3,0.1,43.484885195834835,184.7126117639583,0.0005413815496680249,10,6,50,0.08334576151652577,9.692420073492691e-05,True,True,859.9066165576528,,0.00044137500299257226,0.001711082997644553,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,3,0.01,43.484885195834835,184.7126117639583,5.4138154966802495e-05,12,8,50,0.0022591404128100194,8.778109001905676e-07,True,True,2573.607154251073,,0.000498624998726882,0.0018964169976243284,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,3,0.001,43.484885195834835,184.7126117639583,5.41381549668025e-06,13,9,50,0.0003101012164764547,1.295077837748515e-07,True,True,2394.4600659336725,,0.0005017910007154569,0.0019759169990720693,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,3,0.0001,43.484885195834835,184.7126117639583,5.413815496680249e-07,14,10,50,3.794439879005733e-05,1.5112026745256468e-07,True,True,251.08742480202227,,0.0006217920017661527,0.0019739160015888046,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,3,1e-06,43.484885195834835,184.7126117639583,5.413815496680249e-09,16,12,50,4.097875792576205e-07,7.121514231100967e-08,True,True,5.754219762252282,,0.0005616670023300685,0.0024262090009870008,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,3,1e-08,43.484885195834835,184.7126117639583,5.4138154966802497e-11,18,18,50,2.9450973488405456e-09,1.0183449747347417e-07,False,False,0.028920428949999816,,0.0005702499984181486,0.0024475419995724224,0.006429290999221848
"d=100, narrow",100,30.0,neutral,0,4,0.1,38.50206028091662,193.40616905260654,0.0005170465889989267,10,6,50,0.03122597781773242,3.2125869919408245e-05,True,True,971.9885530280326,,0.0004387910012155771,0.0017079589997592848,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,4,0.01,38.50206028091662,193.40616905260654,5.1704658899892674e-05,11,8,50,0.004613181395091114,2.9218984698431427e-06,True,True,1578.8301485159973,,0.0005401659982453566,0.0019429580024734605,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,4,0.001,38.50206028091662,193.40616905260654,5.170465889989268e-06,12,9,50,0.0005970297059953942,1.1287853429742256e-07,True,True,5289.134109611013,,0.0005656250032188836,0.001998542000364978,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,4,0.0001,38.50206028091662,193.40616905260654,5.170465889989268e-07,13,10,50,6.808169090417767e-05,1.3101596874065535e-07,True,True,519.6442201556714,,0.000516125001013279,0.0020547909989545587,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,4,1e-06,38.50206028091662,193.40616905260654,5.170465889989267e-09,15,12,50,6.192551818082208e-07,1.0928064334003729e-07,True,True,5.6666502216806,,0.0005993329978082329,0.0023867909985710867,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,4,1e-08,38.50206028091662,193.40616905260654,5.170465889989268e-11,17,17,50,3.6193431821620803e-09,1.2257958088846e-07,False,False,0.029526477052123908,,0.0006065409979782999,0.0026823330008483026,0.006414208000933286
"d=100, narrow",100,30.0,neutral,0,5,0.1,38.32383872670212,188.7505265887305,0.000529799846428458,10,5,50,0.029256017766399755,1.9065090192227352e-05,True,True,1534.5334048473132,,0.0004862080022576265,0.0018827499989129137,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,5,0.01,38.32383872670212,188.7505265887305,5.29799846428458e-05,11,7,50,0.00429325813208744,1.6804885996091201e-06,True,True,2554.7677818737047,,0.00048666699876775965,0.0018027910009550396,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,5,0.001,38.32383872670212,188.7505265887305,5.29799846428458e-06,12,9,50,0.0005517498193168409,1.21179820566919e-07,True,True,4553.149334068775,,0.0005499170001712628,0.0020880000010947697,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,5,0.0001,38.32383872670212,188.7505265887305,5.29799846428458e-07,13,10,50,6.246358126281054e-05,9.787212115058841e-08,True,True,638.2162819042469,,0.0006161250021250453,0.002175082998292055,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,5,1e-06,38.32383872670212,188.7505265887305,5.2979984642845795e-09,15,12,50,5.596250379840197e-07,1.2591345005530385e-07,True,True,4.444521516471993,,0.0006074580014683306,0.002372208000451792,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,5,1e-08,38.32383872670212,188.7505265887305,5.29799846428458e-11,17,17,50,3.2196250237461303e-09,9.438677683881735e-08,False,False,0.03411097540966175,,0.0005500000006577466,0.0026335829970776103,0.00673004100099206
"d=100, narrow",100,30.0,neutral,0,6,0.1,41.249588494176486,167.16343295273504,0.0005982169559073049,10,6,50,0.04878881829697486,2.937422568810577e-05,True,True,1660.9397236547568,,0.00043670900049619377,0.0017395419999957085,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,6,0.01,41.249588494176486,167.16343295273504,5.9821695590730484e-05,11,7,50,0.00794896619985908,2.9486723222837963e-06,True,True,2695.778076046942,,0.0005112500002724119,0.0017193749990838114,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,6,0.001,41.249588494176486,167.16343295273504,5.9821695590730484e-06,13,9,50,0.00014450909551753807,1.4557046855434574e-07,True,True,992.7088711924326,,0.0004967909990227781,0.0019053340001846664,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,6,0.0001,41.249588494176486,167.16343295273504,5.982169559073049e-07,14,10,50,1.629171752001604e-05,1.2373895799666634e-07,True,True,131.66199056286666,,0.000577208000322571,0.002254125000035856,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,6,1e-06,41.249588494176486,167.16343295273504,5.982169559073048e-09,16,12,50,1.4836388998669318e-07,1.0908992029157183e-07,True,True,1.3600146520425647,,0.0005435410021163989,0.0023880830012785736,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,6,1e-08,41.249588494176486,167.16343295273504,5.982169559073049e-11,18,18,50,8.927092229305425e-10,8.859675093564334e-08,False,False,0.010076094365796847,,0.0005712090023735072,0.0026438329987286124,0.006603750000067521
"d=100, narrow",100,30.0,neutral,0,7,0.1,38.740391396929105,162.9674799658616,0.0006136193553520494,10,6,50,0.027773649079754832,2.950100384291332e-05,True,True,941.4475937037163,,0.0004346250025264453,0.0015821660017536487,0.006578207998245489
