setting,d,gamma_times_d,value_function,lambda_max,m_q,observed_err,certified_bound,efficiency_residual
"d=1000, medium",1000,10.0,neutral,22.175518922273284,19,7.311224553552265e-08,1.0534165293015041e-18,9.225020130010364e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,25,4.2129930599710264e-08,1.4360964990339574e-29,2.2571835123219586e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,31,4.741070192340602e-08,1.1534058763213244e-41,2.9738682296720498e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,40,4.0324256100898737e-08,1.2579709523495093e-61,3.4063409264373234e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,50,3.113272745158824e-08,7.500970209991015e-86,1.9517627745102573e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,64,3.001865037099982e-08,1.287257016851204e-122,3.705885525784325e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,500,0.0,0.0,1.5408443019282458e-06
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,1,0.1810529431635576,2095.9677046464176,1.032763478012547
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,2,0.18105294316354578,1649.7617244764692,1.0327634780115724
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,3,0.18105285485043235,1264.3655256117208,1.0327588636065492
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,4,0.18098663250481775,941.3686660716031,1.0304853536716412
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,5,0.17928880657832735,679.4984521794348,0.9898938637514592
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,6,0.17030438126809316,474.6419921237186,0.8359515546025473
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,7,0.14984556463910287,320.33744090882794,0.5802549291181311
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,8,0.12085302112544218,208.6094240063954,0.3141434841146201
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,9,0.0898357189476397,130.9376861431363,0.10815925540930793
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,10,0.06208930106820891,79.1423787160796,0.017541745651087348
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,11,0.040179589690434364,46.03150218820782,0.07485523156291096
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,12,0.02446110060148407,25.748921451298852,0.08677181753744612
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,15,0.003930403958809864,3.5531354874812835,0.03631758692398468
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,19,0.00016412918461530812,0.14463163483837096,0.0029928795998801494
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,25,3.5380703056198115e-07,0.0003599250631449248,3.3427839223332256e-06
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,31,3.8543660547951664e-08,2.2311708856737835e-07,9.34933102270108e-07
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,40,3.181967589416246e-08,2.9599786182954525e-13,4.050586553283608e-06
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,50,3.337640314127199e-08,3.6640846036139555e-21,5.616720526679941e-06
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,64,2.3363451121666268e-08,2.155139955560084e-34,2.6674296094153505e-06
"d=1000, narrow",1000,100.0,neutral,173.40570154466045,500,0.0,0.0,2.1891426782438828e-07
"d=100, interv.",100,1.0,interventional,3.0485538657004443,1,0.00426094936649065,3.8873701025695064,0.06629537296329824
"d=100, interv.",100,1.0,interventional,3.0485538657004443,2,0.00012397935472358186,0.2120853396389329,0.0018392008937856419
"d=100, interv.",100,1.0,interventional,3.0485538657004443,3,1.1646336194257034e-06,0.0046807616579885355,1.825381046871577e-05
"d=100, interv.",100,1.0,interventional,3.0485538657004443,4,3.0666144941113305e-08,5.418917083848024e-05,6.694730270151439e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,5,1.538312438195688e-08,3.834148426744749e-07,1.4379133439490488e-09
"d=100, interv.",100,1.0,interventional,3.0485538657004443,6,1.5076551018039508e-08,1.8248154532773116e-09,7.45346340202957e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,7,2.1009413165781754e-08,6.234638238689263e-12,7.379107813676455e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,8,1.4712665190319552e-08,1.6025003758900147e-14,3.5109741447492127e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,9,1.7407703972738275e-08,3.2100924501758146e-17,1.1220923412658124e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,10,2.2663980595027944e-08,5.151506231252235e-20,6.872993174589226e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,11,1.6742264883490288e-08,6.770777339818735e-23,1.0599316890846922e-07
"d=100, interv.",100,1.0,interventional,3.0485538657004443,12,1.9602662484560773e-08,7.421428742989115e-26,2.1590697563134142e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,15,8.621268096989376e-09,3.7812292714191223e-35,4.7242360023957986e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,18,1.1254394536100443e-08,5.765871979943768e-45,1.5452771062740567e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,22,1.42111356545363e-08,1.0118742743095039e-58,2.5609635634360473e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,27,1.7923121174712175e-08,8.51059363622173e-77,1.303423258214309e-08
"d=100, interv.",100,1.0,interventional,3.0485538657004443,33,2.033069744153404e-08,1.5289235223405084e-99,7.2647557969318655e-09
"d=100, interv.",100,1.0,interventional,3.0485538657004443,41,1.2463917550831205e-08,2.5236979747980547e-131,3.5054470437501095e-10
"d=100, interv.",100,1.0,interventional,3.0485538657004443,50,0.0,0.0,7.52716777796536e-11
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,1,0.000837052162347196,0.499577312862445,0.04007053737513244
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,2,1.8005816056178986e-05,0.018603637218701122,0.000782033021677786
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,3,1.4378929244496241e-07,0.000268431731401662,5.6984906380286304e-06
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,4,1.3419661508331376e-08,2.007915211468924e-06,1.345220306259165e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,5,9.660426299185065e-09,9.137689609104326e-09,1.3571307366788687e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,6,1.3184314653913454e-08,2.7910330511674598e-11,5.170742138904671e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,7,6.9985919750464864e-09,6.112306804737276e-14,2.6396954377894133e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,8,9.450987359035934e-09,1.0062729581309568e-16,4.058341703805368e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,9,7.465091853703365e-09,1.2904670439387347e-19,2.607645366303757e-08
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,10,7.402310590876038e-09,1.3253455649430383e-22,3.8993726314551225e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,11,7.121175516454359e-09,1.1145356612360757e-25,1.860519800445104e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,12,8.28375570699133e-09,7.814939010942845e-29,3.4878798382820264e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,15,6.07442194461294e-09,1.0416251773490958e-38,1.327639218562382e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,19,6.463968232200967e-09,1.1257361901223955e-52,8.861734479559402e-08
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,25,3.89075626230917e-09,5.797512728294655e-75,3.288266767764725e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,31,4.414553375631236e-09,1.6308138876792655e-98,1.9260876715776476e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,40,3.9269021090415634e-09,1.089630025553575e-135,1.7082090963960184e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,50,2.821294847049627e-09,4.6421824472611925e-179,3.370272749769754e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,64,2.977111263242904e-09,1.2000682846463515e-242,2.649487050865318e-07
"d=1000, interv.",1000,1.0,interventional,2.4372401565221766,500,2.0816681711721685e-17,0.0,2.818810935778515e-07
