d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,6,22,12,40.68794537420877,151.8423834106235,1.0037936582778832,6.536173058993136e-15,3.397282455352979e-14,1.6786572132332367e-13,8.393286066166183e-14,False,False,True,False,0.19239416047653962,0.5407006865956258
100,40.0,29.145733740690048,6,33,12,40.68794537420877,151.8423834106235,1.0037936582778832,2.633074097346907e-31,2.220446049250313e-14,1.6786572132332367e-13,8.393286066166183e-14,False,False,True,False,1.1858311523650436e-17,0.8110510298934387
100,40.0,29.145733740690048,6,49,12,40.68794537420877,151.8423834106235,1.0037936582778832,1.915784826327574e-60,8.837375276016246e-14,1.6786572132332367e-13,8.393286066166183e-14,False,False,True,False,2.167821062806762e-47,1.2042878928720757
100,40.0,29.145733740690048,7,2,12,38.17002654048072,153.69569632523155,1.0736434967140969,516.6946723362491,1.0560999252022016,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,489.2479016484377,0.05239713411985518
100,40.0,29.145733740690048,7,3,12,38.17002654048072,153.69569632523155,1.0736434967140969,253.59495932313223,0.8107368364000298,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,312.79565444341625,0.07859570117978276
100,40.0,29.145733740690048,7,4,12,38.17002654048072,153.69569632523155,1.0736434967140969,107.2333529509875,0.4102768170896184,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,261.36829692613145,0.10479426823971036
100,40.0,29.145733740690048,7,7,12,38.17002654048072,153.69569632523155,1.0736434967140969,3.142786006447042,0.00811157803935414,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,387.44446409804584,0.18338996941949312
100,40.0,29.145733740690048,7,10,12,38.17002654048072,153.69569632523155,1.0736434967140969,0.022992609543986273,1.6553870219260247e-05,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,1388.9567357628928,0.2619856705992759
100,40.0,29.145733740690048,7,15,12,38.17002654048072,153.69569632523155,1.0736434967140969,4.262489273139512e-07,7.2089001434960664e-12,1.7275070263167436e-13,8.637535131583718e-14,True,True,True,True,59128.14976338891,0.3929785058989138
100,40.0,29.145733740690048,7,22,12,38.17002654048072,153.69569632523155,1.0736434967140969,1.0649893721720239e-15,3.4861002973229915e-14,1.7275070263167436e-13,8.637535131583718e-14,False,False,True,False,0.030549590698518887,0.576368475318407
100,40.0,29.145733740690048,7,33,12,38.17002654048072,153.69569632523155,1.0736434967140969,1.149108484674819e-32,2.2870594307278225e-14,1.7275070263167436e-13,8.637535131583718e-14,False,False,True,False,5.024392760572612e-19,0.8645527129776104
100,40.0,29.145733740690048,7,49,12,38.17002654048072,153.69569632523155,1.0736434967140969,1.1495756167313975e-62,8.859579736508749e-14,1.7275070263167436e-13,8.637535131583718e-14,False,False,True,False,1.297550957179381e-49,1.2837297859364518
