d,instance,m_q,exact_threshold,n_train,n_informative,gamma_scale,certified_error,observed_error,rounding_floor,above_floor,informative,holds,holds_strict
100,11,3,50,300,30,10.0,75.00276295751317,0.3074462864765678,8.926193117986259e-14,True,True,True,True
100,11,4,50,300,30,10.0,19.390171622399347,0.06815757368404374,8.926193117986259e-14,True,True,True,True
100,11,5,50,300,30,10.0,3.8504888617001543,0.009877625046323946,8.926193117986259e-14,True,True,True,True
100,11,6,50,300,30,10.0,0.5943662201961446,0.0010337426982012232,8.926193117986259e-14,True,True,True,True
100,11,8,50,300,30,10.0,0.007099090393763723,4.48054605806103e-06,8.926193117986259e-14,True,True,True,True
100,11,10,50,300,30,10.0,3.7657755792941614e-05,6.648628980698845e-09,8.926193117986259e-14,True,True,True,True
100,11,12,50,300,30,10.0,9.945005924647147e-08,3.700373341075647e-12,8.926193117986259e-14,True,True,True,True
100,11,16,50,300,30,10.0,1.2135447885270711e-13,2.042810365310288e-14,8.926193117986259e-14,False,True,True,True
100,12,1,50,300,30,10.0,435.6124613068342,2.162020413291519,1.7141843500212417e-13,True,True,True,True
100,12,2,50,300,30,10.0,188.0910518327234,1.5532682800792634,1.7141843500212417e-13,True,True,True,True
100,12,3,50,300,30,10.0,63.102057503345264,0.5349916145563687,1.7141843500212417e-13,True,True,True,True
100,12,4,50,300,30,10.0,16.200655271909103,0.1053101768727549,1.7141843500212417e-13,True,True,True,True
100,12,5,50,300,30,10.0,3.1905493144677095,0.013378782366549213,1.7141843500212417e-13,True,True,True,True
100,12,6,50,300,30,10.0,0.48791087311107345,0.001167538064383411,1.7141843500212417e-13,True,True,True,True
100,12,8,50,300,30,10.0,0.005706674014404096,3.7047356447050817e-06,1.7141843500212417e-13,True,True,True,True
100,12,10,50,300,30,10.0,2.9585839222645694e-05,5.077096187910968e-09,1.7141843500212417e-13,True,True,True,True
100,12,12,50,300,30,10.0,7.627348800619764e-08,2.634670259737959e-12,1.7141843500212417e-13,True,True,True,True
100,12,16,50,300,30,10.0,8.852007166014872e-14,3.9968028886505635e-14,1.7141843500212417e-13,False,False,True,True
100,13,1,50,300,30,10.0,423.29973730977036,1.2528402413161734,1.0347278589506459e-13,True,True,True,True
100,13,2,50,300,30,10.0,178.35333783553622,0.9221594924835663,1.0347278589506459e-13,True,True,True,True
100,13,3,50,300,30,10.0,57.7188772440714,0.3259882970969653,1.0347278589506459e-13,True,True,True,True
100,13,4,50,300,30,10.0,14.141030943374707,0.06519413846155042,1.0347278589506459e-13,True,True,True,True
100,13,5,50,300,30,10.0,2.633887372307878,0.008305437325849319,1.0347278589506459e-13,True,True,True,True
100,13,6,50,300,30,10.0,0.37828324102131555,0.0007152677105084493,1.0347278589506459e-13,True,True,True,True
100,13,8,50,300,30,10.0,0.0038456286147355283,1.8863958453074758e-06,1.0347278589506459e-13,True,True,True,True
100,13,10,50,300,30,10.0,1.711277135538999e-05,1.4393146674507307e-09,1.0347278589506459e-13,True,True,True,True
100,13,12,50,300,30,10.0,3.7583253098228364e-08,3.6859404417555197e-13,1.0347278589506459e-13,True,True,True,True
100,13,16,50,300,30,10.0,3.125696218209846e-14,2.4646951146678475e-14,1.0347278589506459e-13,False,False,True,True
100,14,1,50,300,30,10.0,378.15975647771614,1.1868586194011546,9.85878045867139e-14,True,True,True,True
100,14,2,50,300,30,10.0,170.25446159365308,0.8804691243659452,9.85878045867139e-14,True,True,True,True
100,14,3,50,300,30,10.0,60.73082267710178,0.34347226803287645,9.85878045867139e-14,True,True,True,True
100,14,4,50,300,30,10.0,16.890312236179845,0.0772597973395619,9.85878045867139e-14,True,True,True,True
100,14,5,50,300,30,10.0,3.6609734661132505,0.01129529451870126,9.85878045867139e-14,True,True,True,True
100,14,6,50,300,30,10.0,0.6240162628994117,0.0011423863560169334,9.85878045867139e-14,True,True,True,True
100,14,8,50,300,30,10.0,0.009317745704431755,4.509007285991018e-06,9.85878045867139e-14,True,True,True,True
100,14,10,50,300,30,10.0,6.315623651060005e-05,7.231770626781042e-09,9.85878045867139e-14,True,True,True,True
100,14,12,50,300,30,10.0,2.1598302320143313e-07,4.195588321209698e-12,9.85878045867139e-14,True,True,True,True
